Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,7.713333,7.713333,7.626667,7.626667,0.654565,387200
1962-01-03,7.626667,7.693333,7.626667,7.693333,0.660287,288000
1962-01-04,7.693333,7.693333,7.613333,7.616667,0.653708,256000
1962-01-05,7.606667,7.606667,7.453333,7.466667,0.640834,363200
1962-01-08,7.460000,7.460000,7.266667,7.326667,0.628818,544000
1962-01-09,7.360000,7.506667,7.360000,7.413333,0.636256,491200
1962-01-10,7.426667,7.460000,7.426667,7.426667,0.637400,299200
1962-01-11,7.446667,7.506667,7.446667,7.506667,0.644266,315200
1962-01-12,7.520000,7.573333,7.520000,7.520000,0.645411,435200
1962-01-15,7.546667,7.570000,7.546667,7.553333,0.648272,251200
1962-01-16,7.546667,7.546667,7.473333,7.473333,0.641406,251200
1962-01-17,7.440000,7.440000,7.333333,7.353333,0.631107,419200
1962-01-18,7.373333,7.446667,7.373333,7.373333,0.632823,371200
1962-01-19,7.373333,7.393333,7.293334,7.380000,0.633395,400000
1962-01-22,7.380000,7.453333,7.360000,7.366667,0.632251,275200
1962-01-23,7.363333,7.373333,7.280000,7.293334,0.625957,371200
1962-01-24,7.293334,7.333333,7.256667,7.333333,0.629390,408000
1962-01-25,7.333333,7.393333,7.240000,7.253334,0.622524,315200
1962-01-26,7.253334,7.280000,7.213333,7.216667,0.619377,243200
1962-01-29,7.216667,7.266667,7.093333,7.093333,0.608792,579200
1962-01-30,7.093333,7.133333,7.003334,7.003334,0.601067,736000
1962-01-31,7.073333,7.226666,7.073333,7.226666,0.620235,760000
1962-02-01,7.300000,7.413333,7.300000,7.393333,0.634540,640000
1962-02-02,7.393333,7.440000,7.360000,7.440000,0.638544,507200
1962-02-05,7.440000,7.440000,7.306667,7.346667,0.630534,312000
1962-02-06,7.346667,7.360000,7.320000,7.353333,0.631192,256000
1962-02-07,7.360000,7.400000,7.360000,7.360000,0.631765,251200
1962-02-08,7.360000,7.400000,7.360000,7.366667,0.632337,16000
1962-02-09,7.366667,7.420000,7.333333,7.420000,0.636915,432000
1962-02-12,7.420000,7.480000,7.413333,7.426667,0.637487,280000
1962-02-13,7.426667,7.433333,7.306667,7.306667,0.627187,256000
1962-02-14,7.306667,7.333333,7.280000,7.293334,0.626042,208000
1962-02-15,7.293334,7.293334,7.260000,7.266667,0.623753,227200
1962-02-16,7.266667,7.293334,7.260000,7.260000,0.623181,219200
1962-02-19,7.260000,7.293334,7.173333,7.186666,0.616886,280000
1962-02-20,7.190000,7.226666,7.190000,7.190000,0.617172,288000
1962-02-21,7.190000,7.240000,7.136667,7.136667,0.612594,363200
1962-02-23,7.146667,7.173333,7.146667,7.160000,0.614597,288000
1962-02-26,7.160000,7.166667,7.120000,7.133333,0.612308,299200
1962-02-27,7.133333,7.193333,7.093333,7.146667,0.613453,347200
1962-02-28,7.146667,7.160000,7.106667,7.160000,0.614597,267200
1962-03-01,7.186666,7.246666,7.186666,7.246666,0.622037,280000
1962-03-02,7.306667,7.346667,7.306667,7.306667,0.627187,243200
1962-03-05,7.306667,7.306667,7.253334,7.280000,0.624897,360000
1962-03-06,7.280000,7.313334,7.266667,7.286667,0.625470,184000
1962-03-07,7.286667,7.310000,7.266667,7.310000,0.627472,123200
1962-03-08,7.310000,7.326667,7.266667,7.326667,0.628903,184000
1962-03-09,7.333333,7.373333,7.333333,7.373333,0.632909,288000
1962-03-12,7.373333,7.393333,7.346667,7.366667,0.632337,280000
1962-03-13,7.366667,7.366667,7.333333,7.360000,0.631765,123200
1962-03-14,7.360000,7.380000,7.333333,7.346667,0.630620,195200
1962-03-15,7.346667,7.386667,7.333333,7.333333,0.629476,243200
1962-03-16,7.333333,7.366667,7.333333,7.366667,0.632337,160000
1962-03-19,7.380000,7.413333,7.380000,7.386667,0.634054,371200
1962-03-20,7.373333,7.373333,7.340000,7.340000,0.630047,160000
1962-03-21,7.340000,7.360000,7.320000,7.346667,0.630620,256000
1962-03-22,7.320000,7.320000,7.266667,7.266667,0.623753,240000
1962-03-23,7.273334,7.306667,7.273334,7.293334,0.626042,184000
1962-03-26,7.293334,7.320000,7.280000,7.290000,0.625756,131200
1962-03-27,7.273334,7.273334,7.146667,7.153333,0.614025,347200
1962-03-28,7.160000,7.213333,7.160000,7.193333,0.617458,328000
1962-03-29,7.193333,7.226666,7.173333,7.173333,0.615741,227200
1962-03-30,7.160000,7.160000,7.070000,7.103333,0.609733,435200
1962-04-02,7.100000,7.100000,7.006667,7.006667,0.601435,371200
1962-04-03,7.000000,7.000000,6.760000,6.833333,0.586557,912000
1962-04-04,6.833333,6.893333,6.803333,6.803333,0.583982,648000
1962-04-05,6.840000,6.946667,6.840000,6.946667,0.596285,912000
1962-04-06,6.946667,7.000000,6.893333,6.940000,0.595712,432000
1962-04-09,6.940000,6.980000,6.893333,6.946667,0.596285,16000
1962-04-10,6.946667,6.973333,6.906667,6.973333,0.598574,256000
1962-04-11,6.973333,7.026667,6.880000,6.880000,0.590562,528000
1962-04-12,6.880000,6.893333,6.806667,6.806667,0.584268,400000
1962-04-13,6.806667,6.906667,6.800000,6.906667,0.592852,627200
1962-04-16,6.906667,6.953333,6.826667,6.900000,0.592279,507200
1962-04-17,6.900000,6.933333,6.866667,6.933333,0.595140,299200
1962-04-18,6.933333,6.993333,6.913333,6.920000,0.593996,424000
1962-04-19,6.920000,6.946667,6.893333,6.920000,0.593996,387200
1962-04-23,6.920000,6.926667,6.886667,6.913333,0.593424,312000
1962-04-24,6.913333,6.956666,6.900000,6.906667,0.592852,456000
1962-04-25,6.906667,6.933333,6.833333,6.833333,0.586557,459200
1962-04-26,6.826667,6.826667,6.660000,6.660000,0.571678,928000
1962-04-27,6.660000,6.733333,6.400000,6.473333,0.555656,1632000
1962-04-30,6.473333,6.533333,6.000000,6.053333,0.519604,2344000
1962-05-01,6.053333,6.193333,5.733333,6.160000,0.528760,5315200
1962-05-02,6.266667,6.453333,6.266667,6.300000,0.540777,2555200
1962-05-03,6.300000,6.453333,6.253334,6.430000,0.551936,1360000
1962-05-04,6.430000,6.480000,6.366667,6.480000,0.556228,779200
1962-05-07,6.480000,6.530000,6.336667,6.336667,0.543924,827200
1962-05-08,6.328333,6.328333,6.126667,6.126667,0.525982,1032000
1962-05-09,6.126667,6.183333,6.000000,6.013333,0.516252,1600000
1962-05-10,6.013333,6.130000,5.986667,6.040000,0.518541,1907200
1962-05-11,6.040000,6.133333,5.920000,5.946667,0.510528,1896000
1962-05-14,5.946667,6.060000,5.843333,6.060000,0.520258,2728000
1962-05-15,6.060000,6.173333,6.026667,6.026667,0.517396,1683200
1962-05-16,6.026667,6.126667,6.026667,6.093333,0.523120,880000
1962-05-17,6.093333,6.093333,5.960000,5.986667,0.513962,971200
1962-05-18,5.986667,6.020000,5.940000,6.020000,0.516824,731200
1962-05-21,6.020000,6.020000,5.946667,6.000000,0.515106,395200
1962-05-22,5.993333,5.993333,5.800000,5.800000,0.497937,1000000
1962-05-23,5.800000,5.840000,5.536667,5.536667,0.475329,2891200
1962-05-24,5.536667,5.680000,5.306667,5.306667,0.455584,4152000
1962-05-25,5.306667,5.426667,5.173333,5.313334,0.456156,4299200
1962-05-28,5.293334,5.293334,4.733333,4.813334,0.413230,4320000
1962-05-29,4.873333,5.160000,4.873333,5.106667,0.438413,3856000
1962-05-31,5.200000,5.333333,5.200000,5.233333,0.449288,4128000
1962-06-01,5.213333,5.213333,5.103333,5.133333,0.440702,2411200
1962-06-04,5.066667,5.066667,4.800000,4.800000,0.412085,1811200
1962-06-05,4.800000,4.986667,4.706666,4.855000,0.416807,3160000
1962-06-06,4.855000,5.013333,4.826667,4.873333,0.418381,2880000
1962-06-07,4.906667,4.986667,4.906667,4.933333,0.423532,1227200
1962-06-08,4.936666,5.013333,4.936666,4.950000,0.424963,1168000
1962-06-11,4.950000,4.960000,4.780000,4.786667,0.410941,1187200
1962-06-12,4.733333,4.733333,4.468333,4.468333,0.383611,3328000
1962-06-13,4.468333,4.573333,4.296667,4.301667,0.369303,4384000
1962-06-14,4.301667,4.423333,4.000000,4.080000,0.350273,6675200
1962-06-15,4.080000,4.460000,4.006667,4.446667,0.381752,6328000
1962-06-18,4.446667,4.530000,4.233333,4.396667,0.377459,4768000
1962-06-19,4.396667,4.480000,4.346667,4.480000,0.384613,2104000
1962-06-20,4.480000,4.570000,4.373333,4.373333,0.375456,3059200
1962-06-21,4.320000,4.320000,4.203333,4.210000,0.361434,3707200
1962-06-22,4.210000,4.286667,4.140000,4.266667,0.366298,3371200
1962-06-25,4.266667,4.480000,4.206666,4.433333,0.380607,3792000
1962-06-26,4.433333,4.520000,4.266667,4.266667,0.366298,3227200
1962-06-27,4.273334,4.440000,4.273334,4.440000,0.381179,2955200
1962-06-28,4.470000,4.646667,4.470000,4.586667,0.393771,4083200
1962-06-29,4.586667,4.633333,4.510000,4.523334,0.388333,2824000
1962-07-02,4.523334,4.666667,4.513333,4.666667,0.400639,1392000
1962-07-03,4.666667,4.716667,4.640000,4.686666,0.402356,2584000
1962-07-05,4.686666,4.706666,4.650000,4.666667,0.400639,2016000
1962-07-06,4.613333,4.613333,4.560000,4.600000,0.394915,1624000
1962-07-09,4.600000,4.673333,4.546667,4.670000,0.400925,1888000
1962-07-10,4.750000,4.823333,4.750000,4.783333,0.410654,3048000
1962-07-11,4.783333,4.993333,4.763333,4.991667,0.428540,3312000
1962-07-12,5.003334,5.196667,5.003334,5.053333,0.433834,3299200
1962-07-13,5.053333,5.086667,4.966667,5.016667,0.430686,2104000
1962-07-16,5.016667,5.100000,4.966667,5.100000,0.437841,1656000
1962-07-17,5.100000,5.126667,4.933333,4.935000,0.423675,1707200
1962-07-18,4.935000,4.960000,4.826667,4.870000,0.418095,2435200
